,title,contents,url,date,host,uid,leng title,leng contents,token title,token contents,top 1 words contents,top 2 words contents,top 3 words contents
0,silala bolivia revela tres contrademandas a chile y pide compensación a futuro, en el tercer día de la presentación de los alegatos orales por las aguas del silala en la corte internacional de justicia cij de la haya bolivia reveló que presentó tres contrademandas a chile y en una de ellas pide una compensación a futuro por el uso de dicho recurso hídrico que nace de manantiales en el territorio del estado plurinacional mathias forteau uno de los abogados de bolivia explicó que este país ha sentido la necesidad de formular no solo varias demandas como respuesta a las reclamaciones de chile sino tres contrademandas por su postura cuestionable en ciertos aspectos pues por un lado chile no ve en las aguas del silala más que un curso de agua natural pero como resulta evidente ha sido objeto de importantes obras mecanismos de drenaje y canalización y por otro lado chile mantiene un concepto muy unilateralista de sus supuestos derechos relativos a las aguas del silala y guarda silencio … respeto a los derechos de bolivia justificó es así que   según forteau   entonces esta primera contrademanda no tiene ninguna ambigüedad bolivia le pide a la corte que diga … que posee la soberanía sobre los canales y demás infraestructuras situadas en su territorio y que tiene el derecho de decidir si mantiene esas instalaciones y de qué manera ratificó por tanto en su criterio esta contrademanda no debería generar el mínimo problema porque chile en sus escritos reconoce que bolivia posee estos derechos soberanos y ha aceptado que tiene la propiedad de la infraestructura situada en su territorio aunque más adelante también advirtió que chile busca condicionar el derecho de bolivia a desmantelar los canales artificiales por lo que le instó a aclarar su posición en armonía a sus conclusiones finales por su parte rodman bundy otro abogado de bolivia explicó que  entretanto  según bundy  es decir en el evento de que bolivia decidiera ejercer su derecho de desmantelar las obras de los canales … y aun así chile como lo ha hecho en el pasado señalara que quiere seguir recibiendo su parte de las aguas del silala basándose en el flujo del caudal superficial aumentado por la canalización el coste del mantenimiento de los canales y el abastecimiento por parte de bolivia a chile de ese caudal aumentado tendría que estar sujeto a la conclusión de un acuerdo entre las partes remarcó bundy pues advirtió que chile aunque ha declarado que no tiene objeción a que bolivia desmantele las canalizaciones es también totalmente posible que cambie de posición en el futuro dado el riesgo de que la destrucción de los canales redujera considerablemente el caudal de superficie que cruza la frontera entonces teniendo presente que chile no tiene ningún derecho adquirido a continuar recibiendo el caudal de superficie potenciado producido por las canalizaciones en el supuesto de que bolivia decida desmantelar las canalizaciones y chile vuelva a su anterior posición a efectos de que quiere que el actual caudal se mantenga bolivia declara que tiene derecho a compensación insistió además recordó que el concepto de compensación de parte de chile por la entrega de las aguas del silala no es algo nuevo en un acuerdo inicial chile convino en compensar a bolivia por cualquier agua que se extrajera en su territorio señaló entretanto forteau indicó que bolivia en su dúplica aclaró que esta tercera contrademanda se dirige más bien de cara al futuro y no con vistas al pasado y que si los canales y otras instalaciones fueran desmanteladas por supuesto la segunda y tercera contrademandas quedarían sin objeto alguno la disputa por las aguas del silala llegó hasta la cij después de que chile presentara una demanda en 2016 para que ese recurso hídrico que nace en manantiales del territorio boliviano sea reconocido como un río de curso internacional y dos años después bolivia decidiera contrademandar la última etapa de este largo proceso judicial correspondiente a la exposición de los alegatos orales comenzó con la presentación de chile el pasado viernes y se prolongará hasta el 14 de abril,https://www.la-razon.com/nacional/2022/04/05/silala-bolivia-revela-tres-contrademandas-a-chile-y-pide-compensacion-a-futuro/,2022/04/05,www.la-razon.com,13cbf3092248b939e563a9f3c20a9b2a,78,4015,8,344,"('bolivia', 15)","('chile', 15)","('aguas', 6)"
1,la fiscalía dice que entre el 20 y 30% de las mujeres desisten de las denuncias por violencia intrafamiliar, entre el 20 y el 30% de denuncias de violencia intrafamiliar son abandonadas por parte de las víctimas esta situación dificulta del trabajo del ministerio público para continuar con los procesos contra los agresores según el secretario general de la fiscalía general del estado edwin quispe en una entrevista con la razón radio el funcionario afirmó que en varios casos las víctimas presentan la denuncia la ratifican pero en el momento de iniciadas las investigaciones las denunciantes desaparecen resulta que iniciamos los primeros actos de investigación y resulta que a medida que ha pasado el tiempo ya no contamos con la víctima nosotros como ya hemos generado una interacción directa a través del sistema nos contactamos con esta víctima y ya no nos responde al celular entonces es ahí donde entramos a estas cifras negras donde no podemos resolver este tipo de casos sostuvo quispe sostuvo que en esta gestión el ministerio público prohibió a través de resoluciones a inducir a las víctimas a una reconciliación con sus agresores y que esas acciones son pasivas a sanciones por faltas disciplinarias eso pasaba en gestiones anteriores ahora no si eso llega a suceder nosotros tenemos faltas disciplinarias según los artículos 120 y 121 de la ley de organización del ministerio público afirmó el funcionario entonces el ministerio público debe continuar con las investigaciones hasta llegar a la etapa preliminar y concluir con la imputación formal si se encuentran suficientes elementos que permiten avanzar a la siguiente fase o desestimar el caso al no tener la participación activa de la víctima empezamos a deducir en función a su denuncia si la víctima nos dijo que recibía llamadas de acoso pedimos el extracto de llamadas tanto del denunciado como de la denunciante hacemos pericias para cruzar información empezamos a ver si dentro de su denuncia señaló un lugar específico para ver si había cámaras o no en sí tenemos que continuar en base a la información para bien o mal dijo quispe,https://www.la-razon.com/sociedad/2022/04/05/la-fiscalia-dice-que-entre-el-20-y-30-de-las-mujeres-desisten-de-las-denuncias-por-violencia-intrafamiliar/,2022/04/05,www.la-razon.com,38783e100f361990316fa8031ce252d1,107,2001,9,173,"('ministerio', 4)","('público', 4)","('víctima', 4)"
2,bolivia ratifica que tiene la decisión de mantener o no la canalización del silala, el agente de bolivia ante la corte internacional de justicia cij de la haya roberto calzadilla ratificó este martes con base a la contrademanda de este país sobre las aguas del silala que el estado plurinacional tiene la decisión de mantener o no la canalización artificial realizada por chile para mejorar el flujo de ese recurso hídrico en la segunda parte de la audiencia de hoy nuestro equipo presentó los argumentos de la contrademanda boliviana que sostiene que bolivia tiene la decisión de mantener o no la canalización y el derecho sobre el flujo mejorado del agua dijo calzadilla en un nuevo pronunciamiento emitido desde la haya en el tercer día de la presentación de los alegatos orales en la cij en el marco de la disputa por el estatus y uso de las aguas del silala bolivia inicialmente continuó con su respuesta a la demanda presentada por chile para ello hizo uso de la palabra el profesor rodman bundy quien expuso la naturaleza infundada de las afirmaciones de chile sobre las acusaciones de que bolivia no ha evitado un daño transfronterizo significativo y no ha cumplido con la obligación de notificar y consultar recordó el agente en una segunda parte de la audiencia nuevamente el abogado bundy además de su colega mathias forteau se presentaron pero esta vez para exponer la contrademanda boliviana aunque según revelaron forteau y bundy se trata de tres contrademandas es así que en la primera bolivia sostiene que tiene la soberanía sobre los canales artificiales y las instalaciones de drenaje en el silala que están situados sobre su territorio y que tiene el derecho de decidir si los mismos deben mantenerse y de qué manera en la segunda el país afirma que tiene soberanía sobre el flujo artificial de las aguas del silala gestionadas aumentadas o producidas en su territorio y que chile no tiene ningún derecho a ese caudal artificial y en la tercera contrademanda se afirma que todo abastecimiento de parte de bolivia a chile del caudal artificial de las aguas del silala y las condiciones y modalidades de dicho abastecimiento incluida la compensación que se deba pagar para dicha entrega o dicho abastecimiento están sujetas a la conclusión de un acuerdo con bolivia el día de mañana continuará la audiencia y tendrá el uso de la palabra la representación de chile para contestar a la contrademanda de bolivia añadió calzadilla la disputa por las aguas del silala llegó hasta la cij después de que chile presentara una demanda en 2016 para que ese recurso hídrico que nace en manantiales del territorio boliviano sea reconocido como un río de curso internacional y dos años después bolivia decidiera contrademandar la última etapa de este largo proceso judicial correspondiente precisamente a la exposición de los alegatos orales comenzó con la presentación de chile el pasado viernes y se prolongará hasta el 14 de abril,https://www.la-razon.com/nacional/2022/04/05/bolivia-ratifica-que-tiene-la-decision-de-mantener-o-no-la-canalizacion-de-las-aguas-del-silala/,2022/04/05,www.la-razon.com,f3b062b03df020905758f9035c8023ed,82,2854,6,243,"('bolivia', 9)","('chile', 8)","('sobre', 6)"
3,tras denuncia de morales felcn destruye cuatro laboratorios de droga en el trópico, la fuerza especial de lucha contra el narcotráfico felcn destruyó este martes cuatro laboratorios de droga en inmediaciones del río sacta ubicado en el trópico del departamento de cochabamba la felcn ha podido dar con cuatro laboratorios que estaban en funcionamiento y como se puede ver en las imágenes existen palos recién cortados lo que significa que aquí funcionaban estos laboratorios hasta hace pocos días dijo jaime mamani viceministro de defensa social y sustancias controladas estas destrucciones fueron ejecutadas después de que el lunes el expresidente evo morales presentó ante los medios de comunicación unos audios que supuestamente corresponden a conversaciones de agentes antidroga y con ello denunció que hay protección al narcotráfico en algunos de los audios se identifica a un coronel como el que habría pedido el retiro de la fuerza antidroga del sector del río sacta donde entonces presuntamente se realizaba un operativo es así que ante esas denuncias del expresidente evo morales el ministro de gobierno eduardo del castillo nos ha instruido constituirnos aquí y realizar operativos de rastrillaje o de búsqueda de laboratorios por este río señaló mamani agregó que en ese sentido esta mañana desde las 0400 se han movilizado más de 11 patrullas para realizar precisamente la búsqueda de la producción de droga en el sector lográndose encontrar los mencionados cuatro laboratorios ahora se va a realizar la investigación correspondiente de estos laboratorios porque los narcotraficantes buscan áreas verdes o lugares alejados como en este caso que estamos a unos 50 metros del río sacta indicó además anunció que se intensificarán los operativos de lucha contra las drogas en la región del trópico entretanto el expresidente morales aseguró que policías de base se comunicaron con él para respaldar su denuncia sobre la supuesta protección a la ilícita actividad policías de base se han comunicado para respaldar la denuncia de los audios que revelan una presunta protección al narcotráfico reiteramos nuestro pedido para que una investigación imparcial determine responsabilidades en este caso aguardamos investigaciones no declaraciones afirmó morales a través de su cuenta en twitter,https://www.la-razon.com/nacional/2022/04/05/tras-denuncia-de-morales-felcn-destruye-cuatro-laboratorios-de-droga-en-el-tropico/,2022/04/05,www.la-razon.com,7ae472a33963c704e995c64a77296c33,82,2212,8,193,"('laboratorios', 6)","('río', 4)","('morales', 4)"
4,onu autoridades del gobierno transitorio y el estado deben responder por violencia de 2019, el jefe de la misión técnica de la oficina del alto comisionado de las naciones unidas para los derechos humanos acnudh antonio menéndez de zubillaga afirmó este martes que la expresidenta jeanine áñez y el estado boliviano deben responder por la violencia en los conflictos poselectorales en noviembre de 2019 es importante que todas las autoridades respondan cuando existen violaciones a los derechos humanos sobre todo las autoridades políticas porque es la responsabilidad de la gestión de desarrollo del gobierno las autoridades son los responsables de la obligación de proteger promover y respetar los derechos sin perjuicio de que se identifique a los autores materiales de esas violaciones dijo en entrevista con la razón radio luego de un informe del comité de derechos humanos de la onu informe bolivia sobre el uso de la fuerza en el contexto de manifestaciones en el que da cuenta de las limitaciones en el avance de esas investigaciones y que hasta la fecha no se ha dictado ninguna condena menéndez cuestionó los avances de las investigaciones de los hechos de violencia ocurridos en 2019 advirtió que desde noviembre de 2019 a octubre de 2020 mientras áñez continuaba en el gobierno las acciones para la reparación a las víctimas fueron nulas lo importante es despolitizar la justicia dijo existen elementos que cuestionan la independencia y lentitud de la justicia en bolivia y sobre todo la reparación a las víctimas y los derechos de las víctimas a la verdad y a la justicia remarcó insistió en que las autoridades son los responsables de la obligación de proteger promover y respetar los derechos sin perjuicio de que se identifique a los autores materiales de las violaciones a los derechos humanos el 10 de noviembre de 2019 el entonces presidente morales renunció a su cargo presionado por movilizaciones que cuestionaban un supuesto fraude en las elecciones del 20 de octubre de ese año que lo dieron como ganador además de un motín policial y la sugerencia militar de dimitir a la presidencia dos días después la entonces senadora jeanine áñez se proclamó primero presidenta de la cámara de senadores y posteriormente presidenta del país en sendos actos en la asamblea legislativa sin quorum ni asistencia de la mayoritaria bancada de legisladores del movimiento al socialismo mas ante movilizaciones de grupos que respaldaban al dimisionario morales áñez emitió el decreto supremo 4078 que eximía de culpa a policías y militares de posibles excesos por el uso de la fuerza el 15 de noviembre se produjo la masacre de sacaba cochabamba con 10 decesos y cuatro días después la masacre de senkata el alto con otras 10 muertes por impactos de bala,https://www.la-razon.com/nacional/2022/04/05/onu-autoridades-del-gobierno-transitorio-y-el-estado-deben-responder-por-violencia-de-2019/,2022/04/05,www.la-razon.com,460684dfc38675aa0eb7b745def1707c,90,2669,9,229,"('derechos', 7)","('humanos', 4)","('áñez', 4)"
5,hasta abril 490 extranjeros fueron devueltos a la frontera con perú por ingreso irregular, la directora general de migración katherine calderón informó este martes que desde enero hasta abril de este año 490 extranjeros que ingresaron de manera irregular a bolivia y que residían en el alto fueron llevados hasta la población fronteriza de desaguadero donde registraron su paso por última vez en 2022 se ha logrado alcanza un total de 490 personas intervenidas en controles migratorios sancionando de esta forma a las personas que se encuentra o permanecen de manera irregular … ayer se condujo a 36 personas a la frontera de desaguadero por ser el último lugar de donde venían dijo la autoridad en una conferencia de prensa explicó que en los operativos se logró identificar y sacar del país a los extranjeros cuya estadía no cumplía con los requisitos que exige esa cartera de estado los extranjeros se encontraban en la terminal interprovincial de buses en las calles y avenidas de el alto como también alojamientos hoteles la ex terminal de buses la extranca de río seco y la extranca de senkata recordó además que en 2021 se logró alcanzar un total de 5153 personas intervenidas en operativos de control solamente en el alto y aclaró que los infractores identificados este año son ciudadanos de diferentes nacionalidades que no cumplen con los requisitos para el ingreso al país instó a quienes lleguen a bolivia cumplir con los requisitos de ingreso y estadía para que las autoridades puedan garantizar la plenitud de sus derechos y anunció que los controles tanto en frontera como en las ciudades se intensificarán,https://www.la-razon.com/sociedad/2022/04/05/hasta-abril-490-extranjeros-fueron-devueltos-a-la-frontera-con-peru-por-ingreso-irregular/,2022/04/05,www.la-razon.com,4b9c4b2bd04a6e0f0a7aa512e3b15037,89,1531,9,133,"('personas', 4)","('extranjeros', 3)","('alto', 3)"
6,feminicida mandó mensajes desde el celular de wilma para desviar la investigación, luego de 11 días de búsqueda wilma fernández fue hallada sin vida en el camino antiguo hacia coroico la policía bolivia aprehendió al autor de este hecho identificado como hashiro hayakawa quien incluso pudo mandar mensajes de texto a la familia de la víctima para tratar de desviar la investigación hubo aprendizaje criminal distractivo que tuvo este sujeto la señal más notoria es el hecho de haber hecho pasear el teléfono celular de la víctima por varios lugares de nuestra ciudad generando así señales dobles y lógicamente una inacción en cuanto a la información pues esta señal doble a cualquiera hacía presumir que ella estaba viva pero es más el mismo sujeto dentro de su aprendizaje criminal envía mensajes a los familiares a través del whatsapp diciendo que iba a efectuar otro viaje hacia otra parte claro resultando falso indicó en la razón radio el comandante de la policía boliviana general jhonny aguilera wilma fernández fue vista por última vez con vida el 22 de marzo ella había llegado de londres inglaterra para resolver unos asuntos familiares no obstante en medio de sus diligencias presuntamente fue abordada por hayakawa su posible pareja él la convenció de ir a su domicilio en la zona sur de la paz y allí la mató según las investigaciones estamos en la certeza de que este feminicidio se ha producido por una crisis de carácter emocional por celos de la ruptura de esta vinculación indudablemente se produce una reflexión acerca del historial de violencia y es que encontramos a lo largo de la vida del autor de este feminicidio un registro por violencia íntima informó aguilera la autopsia determinó que wilma fue asfixiada hasta su muerte luego el autor puso el cuerpo en un yute que botó en un barranco en inmediaciones de la carretera antigua a coroico por la comunidad de chuspipata por ahora no se hallaron cómplices en este hecho empero las investigaciones siguen por si hubo testigos,https://www.la-razon.com/seguridad-ciudadana/2022/04/04/feminicida-mando-mensajes-desde-el-celular-de-wilma-para-desviar-la-investigacion/,2022/04/04,www.la-razon.com,a1c9868b8eca3a5879205b002d068ba3,81,1919,8,181,"('hecho', 4)","('wilma', 3)","('vida', 3)"
8,la guerra en ucrania afecta a más de 1000 millones de personas en el mundo dice el jefe de la onu,antónio guterres sostuvo que el conflicto bélico afecta a 74 países vulnerables a la subida de los precios de los alimentos la energía y los fertilizantes  74 países en desarrollo con una población total de 1200 millones de personas volodimir zelenski participó poco después en esta sesión necesitamos negociaciones serias para la paz  estamos ante una invasión total moscú tenía varios objetivos  la ofensiva rusa también ha provocado el desplazamiento de más de diez millones de personas en solo un mes 74 países en desarrollo con una población total de 1200 millones de personas volodimir zelenski participó poco después en esta sesión necesitamos negociaciones serias para la paz  estamos ante una invasión total moscú tenía varios objetivos  la ofensiva rusa también ha provocado el desplazamiento de más de diez millones de personas en solo un mes la guerra de rusia en ucrania que viola la carta de las naciones unidas afecta a 74 países en desarrollo y a 1200 millones de personas dijo el martes el secretario general de la onu   en la apertura de una reunión del consejo de seguridad nuestro análisis indica que   son especialmente vulnerables a la subida de los precios de los alimentos la energía y los fertilizantes afirmó el presidente ucraniano   a través de una conexión de video según la onu es la primera vez que el jefe de un estado devastado por la guerra se dirige al consejo de seguridad de esta manera la guerra en ucrania debe terminar ahora  basadas en los principios de la carta de las naciones unidas añadió el jefe de la onu  según guterres esto representa uno de los mayores desafíos que jamás se han planteado al orden internacional y a la arquitectura de la paz mundial basada en la carta de la onu por su naturaleza su intensidad y sus consecuencias  en varios frentes de un estado miembro de la onu ucrania por otro la federación rusa miembro permanente del consejo de seguridad en violación de la carta de la onu denunció una vez más  entre ellos el rediseño de las fronteras internacionalmente reconocidas entre los dos países insistió en un nuevo ataque virulento contra el kremlin  el movimiento forzoso de población más rápido desde la segunda guerra mundial señaló guterres la guerra de rusia en ucrania que viola la carta de las naciones unidas afecta a 74 países en desarrollo y a 1200 millones de personas dijo el martes el secretario general de la onu   en la apertura de una reunión del consejo de seguridad nuestro análisis indica que   son especialmente vulnerables a la subida de los precios de los alimentos la energía y los fertilizantes afirmó el presidente ucraniano   a través de una conexión de video según la onu es la primera vez que el jefe de un estado devastado por la guerra se dirige al consejo de seguridad de esta manera la guerra en ucrania debe terminar ahora  basadas en los principios de la carta de las naciones unidas añadió el jefe de la onu  según guterres esto representa uno de los mayores desafíos que jamás se han planteado al orden internacional y a la arquitectura de la paz mundial basada en la carta de la onu por su naturaleza su intensidad y sus consecuencias  en varios frentes de un estado miembro de la onu ucrania por otro la federación rusa miembro permanente del consejo de seguridad en violación de la carta de la onu denunció una vez más  entre ellos el rediseño de las fronteras internacionalmente reconocidas entre los dos países insistió en un nuevo ataque virulento contra el kremlin  el movimiento forzoso de población más rápido desde la segunda guerra mundial señaló guterres,https://eldeber.com.bo/mundo/la-guerra-en-ucrania-afecta-a-mas-de-1000-millones-de-personas-en-el-mundo-dice-el-jefe-de-la-onu_273445,5/4/2022,eldeber.com.bo,48458ed6aa48f66974f46ea81edafc88,97,3569,10,318,"('onu', 12)","('guerra', 8)","('carta', 8)"
9,zelenski hace difundir ante la onu unas imágenes muy duras de muertos en ucrania,el presidente ucraniano hizo difundir ante el consejo de seguridad de la onu un video con imágenes de muertos en ucrania cuya crudeza indignó a la presidenta de este organismo  video con imágenes de muertos en ucrania  imágenes espantosas  zelenski comparó la guerra en su país con la masacre de guernica la pequeña localidad del país vasco español bombardeada en 1937 p estamos en abril de 2022 pero parece que estamos en abril de 1937 cuando todo el mundo se enteró de lo que pasó en una de vuestras ciudades el presidente ucraniano instó a la onu a actuar inmediatamente frente a los crímenes de guerra excluir a rusia como agresor y el que inició la guerra para que no bloquee las decisiones relacionadas con su propia agresión video con imágenes de muertos en ucrania  imágenes espantosas  zelenski comparó la guerra en su país con la masacre de guernica la pequeña localidad del país vasco español bombardeada en 1937 p estamos en abril de 2022 pero parece que estamos en abril de 1937 cuando todo el mundo se enteró de lo que pasó en una de vuestras ciudades el presidente ucraniano instó a la onu a actuar inmediatamente frente a los crímenes de guerra excluir a rusia como agresor y el que inició la guerra para que no bloquee las decisiones relacionadas con su propia agresión or la aviación nazi durante la guerra civil española 19361939 or la aviación nazi durante la guerra civil española 19361939,https://eldeber.com.bo/mundo/zelenski-hace-difundir-ante-la-onu-unas-imagenes-muy-duras-de-muertos-en-ucrania_273452,5/4/2022,eldeber.com.bo,5a8e22fced58a16bca36d3c72bda0682,80,1410,10,138,"('guerra', 8)","('imágenes', 5)","('país', 4)"
10,bolivia alega que no causó un daño significativo a chile sobre las aguas del silala, inicia la tercera jornada de exposiciones orales ante la corte internacional de justicia esta jornada martes se expondrán los sustentos de la contrademanda nacional ante la haya  bolivia aseguró este martes que ninguna de sus acciones ocasionó un daño significativo a chile relacionados a la supuesta contaminación que algunas iniciativas nacionales rodman bundy quien sostiene que las reclamaciones de chile no tienen sustento hubieran causado la más mínima contaminación a las aguas o una afectación a chile la audiencia se presentan imágenes satelitales del sector fronterizo  la calidad de las aguas del silala sigue siendo la misma que la tuvo hace más de 100 años una de las imágenes presentadas bolivia aseguró este martes que ninguna de sus acciones ocasionó un daño significativo a chile relacionados a la supuesta contaminación que algunas iniciativas nacionales rodman bundy quien sostiene que las reclamaciones de chile no tienen sustento hubieran causado la más mínima contaminación a las aguas o una afectación a chile la audiencia se presentan imágenes satelitales del sector fronterizo  la calidad de las aguas del silala sigue siendo la misma que la tuvo hace más de 100 años una de las imágenes presentadas    ,https://eldeber.com.bo/pais/bolivia-alega-que-no-causo-un-dano-significativo-a-chile-sobre-las-aguas-del-silala_273419,5/4/2022,eldeber.com.bo,2da9b67992ebd1505f6eb05c19939b57,83,1229,9,111,"('chile', 6)","('contaminación', 4)","('aguas', 4)"
