,title,contents,url,date,host,uid,leng title,leng contents,token title,token contents,top 1 words contents,top 2 words contents,top 3 words contents
0,juez envía seis meses a la cárcel de san pedro a hayakawa el autor confeso del feminicidio de wilma, el juez primero de instrucción penal cautelar de la zona sur dispuso este domingo la detención preventiva de jashiro oliver hayakawa condarco autor confeso del feminicidio de wilma fernández quispe por seis meses en la cárcel de san pedro de la paz la decisión fue asumida por la fundamentación de la fiscalía de los abogados de la víctima del ministerio de justicia de los servicios integrados de justicia plurinacional sijplu señaló el director del sijplu aldo tórrez por la prueba colectada con probabilidad es el autor el delito por el que guardará detención es trata y tráfico mientras se espera la imputación formal por el delito de feminicidio por parte del ministerio público complementó tórrez quien dijo que el juez tomó en cuenta los riesgos procesales para su determinación hay peligro de obstrucción a la investigación peligro de fuga no se conoce su domicilio exacto tiene tres en miraflores la zona sur y san jorge puede haber obstaculización porque intentó confundir a la investigación desde diferentes números telefónicos remarcó asimismo tórrez confirmó que circulan videos que apuntan a hayakawa como el feminicida el sábado el ministro de gobierno eduardo del castillo lo presentó como el autor confeso vamos a solicitar a la fiscalía que se dé con el autor o los otros autores dijo el director del sijplu fernández de 39 años de edad estaba desaparecida desde el 22 de marzo y su cadáver fue encontrado el sábado en la localidad de chuspipata en la carretera a los yungas de la paz la autopsia médico legal estableció como causa de muerte asfixia mecánica por sofocación de acuerdo con la investigación de la policía presentada por el ministro del castillo tras la realización del patrullaje cibernético y el análisis de flujo de llamadas entre otros se determinó que wilma fue trasladada con engaños a la casa del feminicida en la zona de achumani tras haber sido abordada en el prado paceño allí havakawa le quitó la vida y posteriormente trasladó el cadáver a chuspipata y lo botó a un barranco la mujer había llegado a bolivia desde londres para realizar unos trámites sin embargo halló la muerte,https://www.la-razon.com/seguridad-ciudadana/2022/04/03/juez-envia-seis-meses-a-la-carcel-de-san-pedro-al-autor-confeso-del-feminicidio-de-wilma/,2022/04/03,www.la-razon.com,bbd49974fe4fbc015389152ccaf149c1,99,2122,12,194,"('autor', 4)","('zona', 3)","('sijplu', 3)"
2,comisión de revisión identificó 141 casos de violadores y feminicidas con sentencia que fueron liberados,al menos 15 de 18 jueces penales están siendo procesados por la liberación de reos sentenciados a 30 años de prisión sin derecho a indulto   tiene 141 expedientes observados de feminicidas y violadores que fueron puestos en libertad   existen avances sustanciales  141 casos observados 15 de 18 jueces penales están siendo procesados por la liberación de reos   hay cinco jueces con detención preventiva uno con mandamiento de aprehensión que está prófugo y nueve que se encuentran en etapa investigativa  en el país la violencia contra las mujeres sea el principal delito vea el video mujeres creando presentó una lista con 119 nombres de feminicidas y violentos que gozan de impunidad creación de una comisión que investigue los casos de feminicidas y violentos una comisión para revisar los casos de feminicidio en los que personas sentenciadas por esos hechos fueron liberadas tras el escándalo judicial provocado por la liberación ilegal de un depredador sexual en el alto  tiene 141 expedientes observados de feminicidas y violadores que fueron puestos en libertad   existen avances sustanciales  141 casos observados 15 de 18 jueces penales están siendo procesados por la liberación de reos   hay cinco jueces con detención preventiva uno con mandamiento de aprehensión que está prófugo y nueve que se encuentran en etapa investigativa  en el país la violencia contra las mujeres sea el principal delito vea el video mujeres creando presentó una lista con 119 nombres de feminicidas y violentos que gozan de impunidad creación de una comisión que investigue los casos de feminicidas y violentos una comisión para revisar los casos de feminicidio en los que personas sentenciadas por esos hechos fueron liberadas tras el escándalo judicial provocado por la liberación ilegal de un depredador sexual en el alto el lunes 31 de enero en la paz y otras ciudades del país miles de mujeres salieron a las calles para exigir justicia por los hechos de feminicidio y otros hechos de violencia de género en la paz la marcha partió desde la casa del feminicida serial richard choque flores y llegó hasta las puertas del tribunal de justicia de la paz donde el colectivo feminista  un día después galindo se reunió con el ministro de gobierno eduardo del castillo y le entregó una carta dirigida al presidente luis arce donde exigía la   que han logrado salir de la cárcel además pedía la participación del colectivo mujeres creando en dicha comisión debido a su vasta experiencia en la lucha contra la violencia sexual y de género que se formaría  sin embargo el colectivo mujeres creando fue dejado a un lado la ministra de la presidencia maría nela prada es la única mujer entre las 10 autoridades de la comisión que examina los casos impunes de violación y feminicidio el lunes 31 de enero en la paz y otras ciudades del país miles de mujeres salieron a las calles para exigir justicia por los hechos de feminicidio y otros hechos de violencia de género en la paz la marcha partió desde la casa del feminicida serial richard choque flores y llegó hasta las puertas del tribunal de justicia de la paz donde el colectivo feminista  un día después galindo se reunió con el ministro de gobierno eduardo del castillo y le entregó una carta dirigida al presidente luis arce donde exigía la   que han logrado salir de la cárcel además pedía la participación del colectivo mujeres creando en dicha comisión debido a su vasta experiencia en la lucha contra la violencia sexual y de género que se formaría  sin embargo el colectivo mujeres creando fue dejado a un lado la ministra de la presidencia maría nela prada es la única mujer entre las 10 autoridades de la comisión que examina los casos impunes de violación y feminicidio,https://eldeber.com.bo/pais/comision-de-revision-identifico-141-casos-de-violadores-y-feminicidas-con-sentencia-que-fueron-liber_273227,3/4/2022,eldeber.com.bo,6405c9d45595213ff72a069f78f429e6,104,3719,9,345,"('mujeres', 10)","('comisión', 8)","('feminicidas', 6)"
3,bolivia pedirá oficialmente a la corte que desestime demanda de chile por las aguas del silala,el agente roberto calzadilla abre la defensa de bolivia la fase oral del juicio concluirá el 14 de abril e incluirá la presentación de investigaciones científicas sobre el acuífero que está en potosí   pedirá a la corte internacional de justicia cij que desestime la demanda de chile porque considera que ésta vulnera los derechos del país    señala la respuesta escrita del país el agente roberto calzadilla abrirá las alegaciones nacionales el secretario general de la dirección estratégica de reivindicación marítima diremar emerson calderón del reservorio del silala puedan llegar de manera mejorada a territorio chileno el sistema hidrológico está compuesto por dos bofedales hemos sido testigos de un reconocimiento por parte de chile de que no tiene ninguna oposición no tiene ninguna objeción a que bolivia desmantele los canales   el diplomático anticipó que el país presentará documentos históricos y científicos durante los alegatos orales río internacional de curso sucesivo y reclamó un supuesto derecho al uso compartido y equitativo de esa reserva hídrica sobre la base de la legislación internacional sobre el derecho de los usos de los cursos de agua internacional bolivia considera que tanto chile y bolivia la soberanía  incluyendo la compensación a pagar por dicha entrega están sujetas a la conclusión de un acuerdo con bolivia pedirá a la corte internacional de justicia cij que desestime la demanda de chile porque considera que ésta vulnera los derechos del país    señala la respuesta escrita del país el agente roberto calzadilla abrirá las alegaciones nacionales el secretario general de la dirección estratégica de reivindicación marítima diremar emerson calderón del reservorio del silala puedan llegar de manera mejorada a territorio chileno el sistema hidrológico está compuesto por dos bofedales hemos sido testigos de un reconocimiento por parte de chile de que no tiene ninguna oposición no tiene ninguna objeción a que bolivia desmantele los canales   el diplomático anticipó que el país presentará documentos históricos y científicos durante los alegatos orales río internacional de curso sucesivo y reclamó un supuesto derecho al uso compartido y equitativo de esa reserva hídrica sobre la base de la legislación internacional sobre el derecho de los usos de los cursos de agua internacional bolivia considera que tanto chile y bolivia la soberanía  incluyendo la compensación a pagar por dicha entrega están sujetas a la conclusión de un acuerdo con bolivia el turno es de bolivia el equipo jurídico tomará la palabra este lunes en la fase oral del juicio sobre la naturaleza de las aguas del silala  pretenden aplicarse a todas las aguas del silala incluidas las que fluyen artificialmente sólo conciernen a los derechos de chile     el turno es de bolivia el equipo jurídico tomará la palabra este lunes en la fase oral del juicio sobre la naturaleza de las aguas del silala  pretenden aplicarse a todas las aguas del silala incluidas las que fluyen artificialmente sólo conciernen a los derechos de chile    ,https://eldeber.com.bo/pais/bolivia-pedira-oficialmente-a-la-corte-que-desestime-demanda-de-chile-por-las-aguas-del-silala_273244,3/4/2022,eldeber.com.bo,122146b840000dbae7373c255bf39fb6,94,3049,9,279,"('bolivia', 11)","('internacional', 8)","('chile', 8)"
5,bolivia y argentina pactan venta de hasta 16 mmm3d de gas y a unos $us 9 el millón de btu, bolivia y argentina llegaron a un nuevo acuerdo en materia energética que incrementará los volúmenes de venta hasta los 16 millones de metros cúbicos día mmm3d y a un precio que bordeará los $us 9 más un adicional por millón de btu informó el presidente de integración energética argentina sociedad anónima ieasa agustín gerez veníamos con un abastecimiento de 75 millones de metros de bolivia y esta semana va a llegar a entre 10 y 11 millones vamos a llegar a 16 millones de metros por díaa mediados de año informó gerez en una entrevista con clarín la estatal yacimientos petrolíferos fiscales bolivianos ypfb fue parte de las negociaciones que incrementarán el volumen de gas enviado a la argentina en vista al invierno época del año con mayor demanda del energético gerez se informó estuvo al frente de las negociaciones que tuvieron la aprobación del presidente alberto fernández y de la vicepresidenta cristina fernández de kirchner otro aspecto de la negociación tiene que ver con el precio por millón de btu según clarín la compra a bolivia provoca ahorros en relación a la importación el gas boliviano se pagará en torno a los us$ 9 más algún adicional mientras que el gas de gnl se paga en un rango de entre us$ 35 y us$ 45 por millón de btu la unidad de medida del sector bolivia y argentina son socios en materia energética  inicialmente la estatal petrolera propuso entregar 9 mmm3/d en invierno un cupo inferior al que pretendía argentina la estatal petrolera informó el 1 de abril que las negociaciones de la sexta adenda con argentina se prolongaban un mes «durante este periodo de tiempo se definirán los términos y condiciones para que este acuerdo sobre el gas natural que bolivia exporta al norte argentino sea positivo para nuestra reactivación económica» establecía el comunicado,https://www.la-razon.com/economia/2022/04/03/bolivia-y-argentina-pactan-venta-de-hasta-16-mmm3d-de-gas-y-a-unos-us-9-el-millon-de-btu/,2022/04/03,www.la-razon.com,6b145a412d7a35c6114f60863e221e02,89,1803,12,173,"('argentina', 6)","('bolivia', 5)","('millones', 4)"
7,el tcp sienta precedente para evitar libertad de feminicidas y exhorta al estado evitar la revictimización, el tribunal constitucional plurinacional tcp emitió una sentencia constitucional que sienta un precedente para evitar la liberación de condenados por feminicidio y exhortó a ocho instituciones del estado a aplicar principios que celeridad para evitar la revictimización en los casos de feminicidio la sentencia constitucional de avocación 0001/2022 llamó la atención a un juzgado por beneficiar con detención domiciliaria a un feminicida confeso y rechazó la resolución que otorgó esa medida sustitutiva a la privación de libertad a rubén omar centellas autor confeso del delito de secuestro y asesinato que se declaró enfermo con diabetes tipo 2 y celulitis facial el exjuez rafael alcón encarcelado por la libertad de sentenciados fue el que facilitó la libertad de omar centellas la familia de la víctima logró revocar la decisión de alcón y centellas interpuso una acción de libertad en contra del juez césar wenceslao portocarrero quien revocó la decisión de alcón un tribunal de garantías concedió la tutela por la acción de libertad al feminicida y el caso pasó a revisión del tcp instancia que rechazó la tutela y exhortó a ocho instituciones a tratar con la debida diligencia los casos de feminicidio las exhortaciones del control constitucional están dirigidas a la asamblea legislativa plurinacional tribunal supremo de justicia consejo de la magistratura ministerio público policía boliviana directorio de la escuela de jueces del estado colegios médicos departamentales y al sistema universitario boliviano a la asamblea legislativa plurinacional le plantea actualizar y adecuar las normas de ejecución penal para la supresión de prácticas jurídicas o consuetudinarias que reproduzcan o toleren la violencia contra la mujer y la revictimización simplificando el acceso efectivo de las víctimas a los procedimientos y las medidas de protección dispuestas en ejecución penal entre otros mientras que el tribunal supremo de justicia le sugiere asumir acciones concretas para evitar la revictimización o la comisión de nuevos hechos de violencia en resguardo de la seguridad de las víctimas y de sus familias considerando los riesgos que implica la decisión de disponer un beneficio en favor del condenado en ejecución penal para disponer las medidas de protección que sean necesarias a la fiscalía le exige adecuar sus reglamentos y normativas internas para eliminar y prevenir las acción u omisiones que favorezcan la revictimización de las víctimas de violencia en tanto que a la policía adecuar sus reglamentos y normativas internas para prevenir y sancionar de manera inmediata y eficaz aquellas acciones u omisiones que favorezcan la revictimización,https://www.la-razon.com/nacional/2022/04/01/el-tcp-sienta-precedente-para-evitar-libertad-de-feminicidas-y-exhorta-al-estado-evitar-la-revictimizacion/,2022/04/01,www.la-razon.com,2a681bd22e2599556d9fda561806637f,106,2665,10,226,"('revictimización', 5)","('libertad', 5)","('tribunal', 4)"
8,bolivia espera unfallo equilibrado de la cij por las aguas del silala, en el litigio por la soberanía de las aguas del silala ante la corte internacional de justicia cij de la haya bolivia espera que tras la fase de alegatos —la última etapa antes de la sentencia— exista un fallo equilibrado consideramos que después de las audiencias públicas la corte luego se tomará un tiempo prudente para deliberar y luego emitirá su fallo que creemos será un fallo equilibrado afirmó este domingo el secretario general de la dirección estratégica de reivindicación marítima diremar emerson calderón en entrevista con bolivia tv sostuvo que se prevé esa determinación tomando en cuenta la contrademanda boliviana y los derechos que tiene el país sobre los canales hay un factor importante a destacar ya hubo una aceptación de parte de chile con respecto a este derecho que tiene bolivia a disponer de estos canales y bolivia va a decidir si realmente los conserva o desmantela explicó la autoridad vía contacto zoom desde la haya el viernes en el inicio de los alegatos orales ante la cij la agente chilena ximena fuentes aseguró que chile no tiene ninguna objeción a que bolivia desmantele los canales artificiales construidos en el siglo xx para el flujo de ese recurso hídrico hacia su país esto es importante porque son estos canales los que están provocando este flujo mejorado del agua en el silala además estos canales han provocado un perjuicio en el ecosistema del lugar fundamentalmente de estos humedales que están protegidos a nivel multilateral por la convención ramsar … en ese contexto consideramos que seremos testigos de un fallo equilibrado explicó calderón bolivia expone este lunes sus argumentos de defensa en la demanda chilena por el silala una vez iniciada la ronda oral del juicio internacional fue levantada la reservada de los alegatos escritos de ambos estados sobre la demanda y contrademanda por derechos en este recurso natural que nace en el cantón quetena chico un poblado fronterizo boliviano,https://www.la-razon.com/nacional/2022/04/03/bolivia-espera-fallo-equilibrado-de-la-cij-por-el-silala/,2022/04/03,www.la-razon.com,c85875e9960f5a4f4dea7dc9fd7dde09,69,1945,7,173,"('bolivia', 6)","('canales', 5)","('fallo', 4)"
9,el acusado alquiló dos casas y el feminicidio de valeria ocurrió el 11 la fiscalía habla de cómplices, el 11 de marzo perdió la vida valeria m a manos de su expareja todo ocurrió en una casa que alquiló en la zona de chicani pero después trasladó los restos a la vivienda de uno de sus amigos en la zona los rosales a pesar de haber alquilado una segunda casa la fiscalía habla de cómplices y confirmó el pedido de 30 años de cárcel sin derecho a indulto para josé luis almanza el ministro de gobierno eduardo del castillo presentó en una conferencia de prensa al principal acusado y aseguró que se hará el seguimiento para que el autor sea sentenciado a 30 años de cárcel sin derecho a indulto valeria m llegó a la paz el 6 de marzo proveniente de cochabamba en compañía de su pareja con quien se aloja en una casa tomada en alquiler en chicani desde el 9 deja de tener contacto telefónico con su familia al día siguiente ambos tienen una pelea conyugal y el 11 cerca de las 1500 fue asesinada la autopsia estableció que la asfixiaron este sujeto un mitómano que habría quitado la vida a su expareja se encuentra debidamente detenido y vamos a asegurarnos como ministerio de gobierno que tenga una sentencia de 30 años sin derecho a indulto afirmó del castillo los restos de la víctima fueron trasladados a cochabamba dejó en la orfandad a un menor de 4 años hijo del principal acusado de feminicidio   el fiscal departamental de la paz williams alave aseguró en una entrevista en el canal estatal que hay cómplices aunque evitó dar mayores detalles necesitamos cerrar el círculo de la investigación para establecer y determinar coautores que han coadyuvado quién ha ayudado por ejemplo a llevar ese recipiente de agua donde estaba el cuerpo desde chicani a la zona los rosales quiénes participaron en chicani no observaron la muerte de esta persona tenemos que investigar todo ese entorno durante los momentos previos y posteriores a la muerte de la víctima sostuvo josé luis almanza fue aprehendido en la paz el 29 de marzo por indicios que lo vinculaban a la desaparición de valeria m informó en esa oportunidad la fiscalía  el comandante de la policía jhonny aguilera aseguró que se detectó un nivel de encubrimiento por parte de algunos familiares aunque evitó dar mayores detalles los restos de valeria m fueron trasladados por familiares a cochabamba donde se prevé un velorio y posterior entierro durante la jornada del sábado,https://www.la-razon.com/ciudades/2022/04/01/el-acusado-alquila-dos-casas-y-el-feminicidio-de-valeria-ocurre-el-11-fiscalia-habla-de-complices/,2022/04/01,www.la-razon.com,9efbeb020e2bbf92699253cfbb69d4b7,101,2333,10,228,"('valeria', 4)","('m', 4)","('chicani', 4)"
10,rusia bombardea el puerto ucraniano de odessa y destruye una refinería,las instalaciones suministraban combustible a las fuerzas ucranianas en dirección a la ciudad de mykolaiv  el principal puerto de en el mar negro esta mañana misiles marítimos y terrestres de alta precisión destruyeron una refinería  suministraban combustible a las fuerzas ucranianas en dirección a la ciudad demykolaiv se vieron columnas de humo negro en una zona industrial de esta ciudad portuaria estratégica fue un ataque con cohetes que no dejó víctimas el enemigo continúa su práctica pérfida de atacar infraestructuras sensibles algunos de los cuales fueron derribados por la defensa antiaérea ucraniana se observan incendios en ciertas zonas esta ciudad histórica es considerada estratégica por su puerto de gran tamaño se espera que el ministro griego de exteriores nikos dendias llegue aodessamuy pronto está ocupada por las fuerzas rusas con excepción de algunas partes de mariúpol el principal puerto de en el mar negro esta mañana misiles marítimos y terrestres de alta precisión destruyeron una refinería  suministraban combustible a las fuerzas ucranianas en dirección a la ciudad demykolaiv se vieron columnas de humo negro en una zona industrial de esta ciudad portuaria estratégica fue un ataque con cohetes que no dejó víctimas el enemigo continúa su práctica pérfida de atacar infraestructuras sensibles algunos de los cuales fueron derribados por la defensa antiaérea ucraniana se observan incendios en ciertas zonas esta ciudad histórica es considerada estratégica por su puerto de gran tamaño se espera que el ministro griego de exteriores nikos dendias llegue aodessamuy pronto está ocupada por las fuerzas rusas con excepción de algunas partes de mariúpol,https://eldeber.com.bo/mundo/rusia-bombardea-el-puerto-ucraniano-de-odessa-y-destruye-una-refineria_273239,3/4/2022,eldeber.com.bo,a4ae72dec34d2d150a295d14d6107701,70,1682,7,152,"('ciudad', 7)","('fuerzas', 5)","('puerto', 4)"
11,grammy 2022 vicente fernández gana un premio póstumo por a mis 80s sigue aquí los ganadores de las otras categorías,el galardón al mejor álbum de música regional mexicana ha sido para cantante quien falleció el 12 de diciembre de 2021 ,https://eldeber.com.bo/bbc/grammy-2022-vicente-fernandez-gana-un-premio-postumo-por-a-mis-80s-sigue-a_273247,3/4/2022,eldeber.com.bo,311f14a527a97ecaa2c216983f444470,115,119,14,13,"('galardón', 1)","('mejor', 1)","('álbum', 1)"
12,foo fighters gana tres grammy una semana después de la muerte de su baterista, ganaron el premio al mejor álbum de rock mejor actuación de rock y mejor canción de rock ninguno de los integrantes de la agrupación estaba presente en la premiación   foo fighters se llevó los tres premios grammy   está previsto un homenaje para hawkins mejor álbum de rock mejor actuación de rock y mejor canción de rock agrupación atraviesa el duelo por hawkins tragedia que además los llevó a cancelar el resto de su agenda de conciertos  hawkins tenía drogas en su cuerpo antes de morir hawkins era conocido por su carisma en escena y por su estilo en la percusión aniversario número 25 el año pasado  foo fighters se llevó los tres premios grammy   está previsto un homenaje para hawkins mejor álbum de rock mejor actuación de rock y mejor canción de rock agrupación atraviesa el duelo por hawkins tragedia que además los llevó a cancelar el resto de su agenda de conciertos  hawkins tenía drogas en su cuerpo antes de morir hawkins era conocido por su carisma en escena y por su estilo en la percusión aniversario número 25 el año pasado ,https://eldeber.com.bo/sociales/foo-fighters-gana-tres-grammy-una-semana-despues-de-la-muerte-de-su-baterista_273257,3/4/2022,eldeber.com.bo,f6bc24462df2acdded567fc8a706976e,77,1046,8,107,"('mejor', 9)","('rock', 9)","('hawkins', 8)"
